Word,Part_of_Speech,Audio,Photos
beautiful,adjective,beautiful.ogg,"beautiful-woman.jpg, beautiful-nature.jpg"
big,adjective,,"big-elephants.jpg, big-wave.jpg"
black,adjective,black.ogg,"black-swan.jpg, black-cat.jpg"
blind,adjective,blind.ogg,blind-person.jpg
blue,adjective,blue.ogg,"woman-with-blue-hair.jpg, cat-with-blue-eyes.png"
brown,adjective,brown.ogg,"brown-dog.jpg, brown-wooden-floor.jpg"
cheap,adjective,cheap.ogg,"80-percent-off-sale.jpg, old-Toyota-Corolla.jpg"
clean,adjective,clean.ogg,"girl-with-mop-spray.jpg, clean-dining-room.jpg"
cold,adjective,cold.ogg,"blizzard-snow-woman-winter-clothes.jpg, chihuahua-dog-blanket-cold-winter.jpg"
curved,adjective,curved.ogg,"road-bend-curve-highway-hilly.jpg, road-winding-street-bridge.jpg"
dark,adjective,dark.ogg,"woman-gothic-dark-girl-female.jpg, smoking-lighter-dark-cigarette.jpg"
dead,adjective,dead.ogg,"skull-art-demon-abstract-death.jpg, death-valley-scrubs-sand-dunes.jpg"
deaf,adjective,deaf.ogg,"hearing-aid-deaf.png, deaf-alphabet-sign-language.png"
deep,adjective,deep.ogg,"scuba-diver-diver-diving-underwater.jpg, cave-pit-waterfall.jpg"
dirty,adjective,dirty.ogg,"cave-tour-dirty-clothing.jpg, dirty-car-nature-field-4-x-4.jpg"
dry,adjective,dry.ogg,"earth-drought-ground-dehydrated.jpg, hairdryer.jpg"
expensive,adjective,expensive.ogg,"wristwatch-gold.jpg, car-mercedes-benz.jpg"
famous,adjective,famous.ogg,"saint-basils-cathedral-moscow.jpg, bob-marley-reggae-artist-face.png"
flat,adjective,flat.ogg,"world-earth-flat.jpg, mirroring-salt-lake-water.jpg"
green,adjective,green.ogg,"leaf-green-plants.jpg, peas-vegetables-green-food.jpg"
grey,adjective,grey.ogg,grey-icon.svg
happy,adjective,happy.ogg,happy.png
hard,adjective,hard.ogg,"crystal-rock-mineral-hard.jpg, hard-disk-storage-computer.png"
healthy,adjective,healthy.ogg,"vegetables-carrot-food-healthy.jpg, yoga-fitness-exercise.jpg"
