Word,Part_of_Speech,Audio,Photos
bella,adjective,bella.ogg,"beautiful-woman.jpg, beautiful-nature.jpg"
grande,adjective,grande.ogg,"big-elephants.jpg, big-wave.jpg"
negro,adjective,negro.ogg,"black-swan.jpg, black-cat.jpg"
ciego,adjective,ciego.ogg,blind-person.jpg
azul,adjective,azul.ogg,"woman-with-blue-hair.jpg, cat-with-blue-eyes.png"
marrón,adjective,marron.ogg,"brown-dog.jpg, brown-wooden-floor.jpg"
barato,adjective,barato.ogg,"80-percent-off-sale.jpg, old-Toyota-Corolla.jpg"
limpio,adjective,limpio.ogg,"girl-with-mop-spray.jpg, clean-dining-room.jpg"
frío,adjective,frio.ogg,"blizzard-snow-woman-winter-clothes.jpg, chihuahua-dog-blanket-cold-winter.jpg"
curvado,adjective,curvado.ogg,"road-bend-curve-highway-hilly.jpg, road-winding-street-bridge.jpg"
oscuro,adjective,oscuro.ogg,"woman-gothic-dark-girl-female.jpg, smoking-lighter-dark-cigarette.jpg"
muerto,adjective,muerto.ogg,"skull-art-demon-abstract-death.jpg, death-valley-scrubs-sand-dunes.jpg"
sordo,adjective,sordo.ogg,"hearing-aid-deaf.png, deaf-alphabet-sign-language.png"
profundo,adjective,profundo.ogg,"scuba-diver-diver-diving-underwater.jpg, cave-pit-waterfall.jpg"
sucio,adjective,sucio.ogg,"cave-tour-dirty-clothing.jpg, dirty-car-nature-field-4-x-4.jpg"
seco,adjective,seco.ogg,"earth-drought-ground-dehydrated.jpg, hairdryer.jpg"
caro,adjective,caro.ogg,"wristwatch-gold.jpg, car-mercedes-benz.jpg"
famoso,adjective,famoso.ogg,"saint-basils-cathedral-moscow.jpg, bob-marley-reggae-artist-face.png"
plano,adjective,plano.ogg,"world-earth-flat.jpg, mirroring-salt-lake-water.jpg"
verde,adjective,verde.ogg,"leaf-green-plants.jpg, peas-vegetables-green-food.jpg"
gris,adjective,gris.ogg,grey-icon.svg
feliz,adjective,feliz.ogg,happy.png
duro,adjective,duro.ogg,"crystal-rock-mineral-hard.jpg, hard-disk-storage-computer.png"
sano,adjective,sano.ogg,"vegetables-carrot-food-healthy.jpg, yoga-fitness-exercise.jpg"
pesado,adjective,pesado.ogg,"lifting-box-wood-heavy-crate.jpg, sports-fitness-body-building-iron-weights.jpg"
caliente,adjective,caliente.ogg,"fire-flame-carbon-burn.jpg, coffee-hot-drinks.jpg"
ligero,adjective,ligero.ogg,"feather.jpg, balance-scale.jpg"
largo,adjective,largo.ogg,"asphalt-countryside-road.jpg, swan-water-bird-lake-white.jpg"
flojo,adjective,flojo.ogg,loose-waist.jpg
ruidoso,adjective,ruidoso.ogg,loudspeaker-man-boy-holding.png
bajo,adjective,bajo.ogg,low-tide-beach-sunrise.jpg
estrecho,adjective,estrecho.ogg,narrow-passage-narrow-path.jpg
nuevo,adjective,nuevo.ogg,"new-home-construction.jpg, car-bmw-x3-suv.jpg"
viejo,adjective,viejo.ogg,"car-vintage-classic-retro.jpg, old-farm-house-decay.jpg"
rosado,adjective,rosado.ogg,pink.png
pobre,adjective,pobre.ogg,"kid-child-portrait-sad-poor.jpg, people-homeless-male-poverty.jpg"
callado,adjective,callado.ogg,emoticon-quiet-shoo.png
rojo,adjective,rojo.ogg,red.png
rico,adjective,rico.ogg,car-red-driver-gentleman-affluence.png
triste,adjective,triste.ogg,"sad.jpg, dollar-bills-flying.jpg"
poco profundo,adjective,poco-profundo.ogg,shallow-sea-turquoise.jpg
corto,adjective,corto.ogg,"woman-short-hair-face.png, shorts-legs-torso-person-girl.jpg"
enfermo,adjective,enfermo.ogg,"allergy-cold-disease-flu-girl.jpg, sick-woman-in-bed-thermometer.png"
plateado,adjective,plateado.ogg,"silver-background.jpg, ring-wedding-silver-jewelery.png"
lento,adjective,lento.ogg,"amphibian-turtle.jpg, snail-shell-slow-animal.jpg"
pequeño,adjective,pequenxo.ogg,"little-girl-wildflowers-meadow.jpg, mouse-cute.jpg"
suave,adjective,suave.ogg,"wool-ball-knitting-craft.jpg, white-cotton-texture-fabric.jpg"
fuerte,adjective,fuerte.ogg,muscles-man-biceps.jpg
alto,adjective,alto.ogg,"eiffel-tower-paris-tower.jpg, palm-trees-upward-tropical-blue-sky.jpg"
grueso,adjective,grueso.ogg,"book-green-thick.png, Ikat_cloth_from_Sumba.jpg"
apretado,adjective,apretado.ogg,"knot-rope.jpg, girl-woman-tight-black-dress.jpg"
feo,adjective,feo.ogg,grotesque-old-woman.jpg
caliente,adjective,caliente.ogg,staying-warm.jpg
débil,adjective,debil.ogg,caricature-man-weak-effort.jpg
mojado,adjective,mojado.ogg,"rain-raindrop-floor.jpg, golden-retriever-retrieve-lake-play.jpg"
blanco,adjective,blanco.ogg,background-texture-brick-wall.jpg
amarillo,adjective,amarillo.ogg,yellow.jpg
joven,adjective,joven.ogg,beautiful-girl-woman-young.jpg
detrás,adverb  ,detras.ogg,citroen-back.jpg
abajo,adverb  ,abajo.ogg,arrow-down.png
rápido,adverb  ,rapido.ogg,motorcycle-speed-helmet.jpg
al frente,adverb  ,al-frente.ogg,man-woman-relaxing-front-boat.jpg
alto,adverb  ,alto.ogg,view-high-above-top-feet.jpg
a la izquierda,adverb  ,a-la-izquierda.ogg,road-sign-left-turn.png
a la derecha,adverb  ,a-la-derecha.ogg,right-turn.png
todo recto,adverb  ,todo-recto.ogg,traffic-sign-straight-ahead.png
arriba,adverb  ,arriba.ogg,green-arrow-up.png
cinco,cardinal number,cinco.ogg,five.jpg
cuatro,cardinal number,cuatro.ogg,four.jpg
uno,cardinal number,uno.ogg,one.png
cien,cardinal number,cien.ogg,one-hundred.png
million,cardinal number,million.ogg,one-million.jpg
mil  ,cardinal number,mil  .ogg,one-thousand-banknote-polish.png
tres,cardinal number,tres.ogg,three.png
dos,cardinal number,dos.ogg,two.png
cero,cardinal number,cero.ogg,zero.png
direccíon,noun,direccion.ogg,four-arrows.png
actor,noun,actor.ogg,actor-man-film-actor-cary-grant.jpg
adulto,noun,adulto.ogg,"portrait-man-male-black.jpg, beautiful-smile-girl-woman-happy.jpg"
tarde,noun,tarde.ogg,man-solitude-tree-leaning-resting.jpg
aeropuerto,noun,aeropuerto.ogg,airport.jpg
animal,noun,animal.ogg,bull-cattle-livestock.jpg
departamento,noun,departamento.ogg,living-room-chair-sofa-couch.jpg
manzana,noun,manzana.ogg,apple.jpg
brazo,noun,brazo.ogg,arm.jpg
fuerzas armadas,noun,fuerzas-armadas.ogg,soldiers.jpg
arte,noun,arte.ogg,wall-art-spray-graffiti-woman.jpg
artista,noun,artista.ogg,artist.jpg
autor,noun,autor.ogg,writer-typewriter-author-blogging.jpg
bebé,noun,bebe.ogg,baby.jpg
espalda,noun,espalda.ogg,sea-ocean-water-wave-nature-beach.jpg
bolsa,noun,bolsa.ogg,bag-classic-leather-messenger.jpg
pelota,noun,pelota.ogg,beach-ball.svg
banano,noun,banano.ogg,banana.png
banda,noun,banda.ogg,Lake-Malawi-music-band.jpg
banco,noun,banco.ogg,bank-building.jpg
